#options: 1080x1920 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=798 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:33 type:B dur:2 cpbdur:2 q:45.80 aq:45.74 tex:10158 mv:14028 misc:5094 imb:537 pmb:1441 smb:6182 d:- ref:0 ;
in:32 out:34 type:b dur:2 cpbdur:2 q:45.68 aq:45.59 tex:7397 mv:11994 misc:4465 imb:423 pmb:1130 smb:6607 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:45.92 aq:44.81 tex:5994 mv:9307 misc:4379 imb:291 pmb:1062 smb:6807 d:- ref:0 ;
in:39 out:36 type:P dur:2 cpbdur:2 q:46.34 aq:45.18 tex:29517 mv:18046 misc:3637 imb:3481 pmb:412 smb:4267 d:- ref:0 ;
in:37 out:37 type:B dur:2 cpbdur:2 q:46.19 aq:46.61 tex:13669 mv:14678 misc:4933 imb:625 pmb:1450 smb:6085 d:- ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:46.12 aq:45.64 tex:8237 mv:12970 misc:4497 imb:464 pmb:1267 smb:6429 d:- ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:46.27 aq:46.05 tex:6270 mv:9329 misc:4193 imb:305 pmb:1020 smb:6835 d:- ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:46.70 aq:44.94 tex:28169 mv:17061 misc:3554 imb:3433 pmb:383 smb:4344 d:- ref:0 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:46.52 aq:45.67 tex:10965 mv:13478 misc:4661 imb:588 pmb:1297 smb:6275 d:- ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:46.43 aq:45.08 tex:6647 mv:10587 misc:4070 imb:396 pmb:1016 smb:6748 d:- ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:46.61 aq:46.44 tex:5377 mv:7661 misc:3818 imb:279 pmb:875 smb:7006 d:- ref:0 ;
in:47 out:44 type:P dur:2 cpbdur:2 q:46.69 aq:45.12 tex:32213 mv:17606 misc:3109 imb:3315 pmb:417 smb:4428 d:- ref:0 ;
in:45 out:45 type:B dur:2 cpbdur:2 q:46.69 aq:45.29 tex:11460 mv:12831 misc:4597 imb:603 pmb:1224 smb:6333 d:- ref:0 ;
in:44 out:46 type:b dur:2 cpbdur:2 q:46.70 aq:45.07 tex:6673 mv:9365 misc:3874 imb:352 pmb:947 smb:6861 d:- ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:46.69 aq:46.23 tex:5421 mv:7689 misc:3826 imb:264 pmb:899 smb:6997 d:- ref:0 ;
in:51 out:48 type:P dur:2 cpbdur:2 q:46.69 aq:45.57 tex:34900 mv:18097 misc:3739 imb:3347 pmb:455 smb:4358 d:- ref:0 ;
in:49 out:49 type:B dur:2 cpbdur:2 q:46.69 aq:45.60 tex:9144 mv:11484 misc:4556 imb:450 pmb:1237 smb:6473 d:- ref:0 ;
in:48 out:50 type:b dur:2 cpbdur:2 q:46.69 aq:45.51 tex:6148 mv:9822 misc:4006 imb:355 pmb:946 smb:6859 d:- ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:46.69 aq:46.74 tex:5560 mv:7661 misc:3931 imb:251 pmb:938 smb:6971 d:- ref:0 ;
in:52 out:52 type:I dur:2 cpbdur:2 q:43.63 aq:42.46 tex:88086 mv:29058 misc:312 imb:8160 pmb:0 smb:0 d:- ref:;
in:56 out:53 type:P dur:2 cpbdur:2 q:47.54 aq:46.19 tex:31246 mv:18461 misc:2989 imb:3312 pmb:457 smb:4391 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:47.54 aq:46.53 tex:5116 mv:9310 misc:4110 imb:246 pmb:1150 smb:6764 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:47.54 aq:47.53 tex:3680 mv:7035 misc:3509 imb:184 pmb:864 smb:7112 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:47.54 aq:46.27 tex:4023 mv:6758 misc:3547 imb:176 pmb:879 smb:7105 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:47.62 aq:46.44 tex:29918 mv:18288 misc:3202 imb:3060 pmb:473 smb:4627 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:47.58 aq:44.53 tex:8916 mv:11385 misc:4315 imb:426 pmb:1205 smb:6529 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:47.56 aq:45.88 tex:4275 mv:8557 misc:3664 imb:240 pmb:924 smb:6996 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:47.60 aq:48.40 tex:4321 mv:6542 misc:3473 imb:149 pmb:836 smb:7175 d:- ref:0 ;
in:63 out:61 type:P dur:2 cpbdur:2 q:47.74 aq:45.95 tex:24872 mv:16258 misc:3478 imb:2644 pmb:438 smb:5078 d:- ref:0 ;
in:61 out:62 type:B dur:2 cpbdur:2 q:47.66 aq:45.74 tex:5139 mv:8245 misc:3768 imb:248 pmb:902 smb:7010 d:- ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:47.70 aq:46.54 tex:4177 mv:7005 misc:3330 imb:166 pmb:772 smb:7222 d:- ref:0 ;
in:67 out:64 type:P dur:2 cpbdur:2 q:47.83 aq:45.27 tex:17884 mv:13802 misc:4146 imb:2100 pmb:411 smb:5649 d:- ref:0 ;
in:65 out:65 type:B dur:2 cpbdur:2 q:47.78 aq:46.60 tex:7926 mv:9848 misc:3906 imb:308 pmb:1089 smb:6763 d:- ref:0 ;
