#options: 748x1290 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=482 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:32 out:34 type:b dur:2 cpbdur:2 q:44.06 aq:30.00 tex:34 mv:143 misc:375 imb:0 pmb:26 smb:3781 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:43.50 aq:30.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:39 out:36 type:P dur:2 cpbdur:2 q:43.28 aq:32.47 tex:12962 mv:4130 misc:1948 imb:205 pmb:385 smb:3217 d:- ref:0 ;
in:37 out:37 type:B dur:2 cpbdur:2 q:43.24 aq:37.13 tex:424 mv:937 misc:711 imb:3 pmb:103 smb:3701 d:- ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:43.23 aq:29.00 tex:29 mv:186 misc:393 imb:2 pmb:31 smb:3774 d:- ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:43.26 aq:29.00 tex:5 mv:86 misc:325 imb:1 pmb:17 smb:3789 d:- ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:42.95 aq:27.57 tex:2839 mv:1306 misc:1319 imb:246 pmb:82 smb:3479 d:- ref:0 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:43.11 aq:28.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:43.19 aq:29.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:43.03 aq:29.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:47 out:44 type:P dur:2 cpbdur:2 q:42.54 aq:32.64 tex:8971 mv:3121 misc:1844 imb:143 pmb:353 smb:3311 d:- ref:0 ;
in:45 out:45 type:B dur:2 cpbdur:2 q:42.75 aq:27.00 tex:27 mv:113 misc:572 imb:0 pmb:82 smb:3725 d:- ref:0 ;
in:44 out:46 type:b dur:2 cpbdur:2 q:42.85 aq:29.00 tex:39 mv:190 misc:427 imb:2 pmb:37 smb:3768 d:- ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:42.64 aq:29.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:51 out:48 type:P dur:2 cpbdur:2 q:42.07 aq:31.32 tex:15288 mv:4759 misc:2201 imb:243 pmb:439 smb:3125 d:- ref:0 ;
in:49 out:49 type:B dur:2 cpbdur:2 q:42.31 aq:37.40 tex:714 mv:1078 misc:712 imb:2 pmb:131 smb:3674 d:- ref:0 ;
in:48 out:50 type:b dur:2 cpbdur:2 q:42.43 aq:28.00 tex:33 mv:186 misc:421 imb:2 pmb:37 smb:3768 d:- ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:42.19 aq:28.00 tex:20 mv:265 misc:427 imb:2 pmb:46 smb:3759 d:- ref:0 ;
in:55 out:52 type:P dur:2 cpbdur:2 q:41.31 aq:29.89 tex:17177 mv:5302 misc:2657 imb:375 pmb:547 smb:2885 d:- ref:0 ;
in:53 out:53 type:B dur:2 cpbdur:2 q:41.69 aq:26.00 tex:23 mv:414 misc:579 imb:4 pmb:75 smb:3728 d:- ref:0 ;
in:52 out:54 type:b dur:2 cpbdur:2 q:41.88 aq:28.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:41.50 aq:28.00 tex:21 mv:343 misc:500 imb:3 pmb:58 smb:3746 d:- ref:0 ;
in:59 out:56 type:P dur:2 cpbdur:2 q:40.73 aq:29.53 tex:16606 mv:4837 misc:2421 imb:291 pmb:512 smb:3004 d:- ref:0 ;
in:57 out:57 type:B dur:2 cpbdur:2 q:41.02 aq:25.00 tex:30 mv:519 misc:619 imb:3 pmb:92 smb:3712 d:- ref:0 ;
in:56 out:58 type:b dur:2 cpbdur:2 q:41.17 aq:26.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:58 out:59 type:b dur:2 cpbdur:2 q:40.88 aq:26.00 tex:14 mv:336 misc:538 imb:2 pmb:65 smb:3740 d:- ref:0 ;
in:63 out:60 type:P dur:2 cpbdur:2 q:40.38 aq:30.26 tex:15221 mv:4499 misc:2368 imb:222 pmb:507 smb:3078 d:- ref:0 ;
in:61 out:61 type:B dur:2 cpbdur:2 q:40.56 aq:24.00 tex:28 mv:485 misc:655 imb:0 pmb:105 smb:3702 d:- ref:0 ;
in:60 out:62 type:b dur:2 cpbdur:2 q:40.64 aq:26.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:40.47 aq:25.00 tex:29 mv:515 misc:576 imb:4 pmb:83 smb:3720 d:- ref:0 ;
in:67 out:64 type:P dur:2 cpbdur:2 q:40.32 aq:28.26 tex:15605 mv:5053 misc:2358 imb:399 pmb:463 smb:2945 d:- ref:0 ;
in:65 out:65 type:B dur:2 cpbdur:2 q:40.35 aq:28.34 tex:77 mv:410 misc:737 imb:1 pmb:117 smb:3689 d:- ref:0 ;
in:64 out:66 type:b dur:2 cpbdur:2 q:40.37 aq:25.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:66 out:67 type:b dur:2 cpbdur:2 q:40.33 aq:25.00 tex:28 mv:433 misc:579 imb:4 pmb:78 smb:3725 d:- ref:0 ;
in:71 out:68 type:P dur:2 cpbdur:2 q:40.21 aq:28.84 tex:2383 mv:401 misc:824 imb:27 pmb:73 smb:3707 d:- ref:0 ;
in:69 out:69 type:B dur:2 cpbdur:2 q:40.26 aq:24.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:68 out:70 type:b dur:2 cpbdur:2 q:40.29 aq:25.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:40.24 aq:25.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:75 out:72 type:P dur:2 cpbdur:2 q:39.79 aq:28.67 tex:19608 mv:6258 misc:2238 imb:306 pmb:536 smb:2965 d:- ref:0 ;
in:73 out:73 type:B dur:2 cpbdur:2 q:40.00 aq:36.11 tex:929 mv:1918 misc:809 imb:4 pmb:179 smb:3624 d:- ref:0 ;
in:72 out:74 type:b dur:2 cpbdur:2 q:40.11 aq:25.00 tex:21 mv:300 misc:543 imb:3 pmb:73 smb:3731 d:- ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:39.90 aq:25.00 tex:25 mv:306 misc:541 imb:2 pmb:74 smb:3731 d:- ref:0 ;
in:79 out:76 type:P dur:2 cpbdur:2 q:39.65 aq:28.45 tex:15196 mv:4432 misc:2244 imb:187 pmb:493 smb:3127 d:- ref:0 ;
in:77 out:77 type:B dur:2 cpbdur:2 q:39.72 aq:23.00 tex:29 mv:452 misc:799 imb:0 pmb:135 smb:3672 d:- ref:0 ;
in:76 out:78 type:b dur:2 cpbdur:2 q:39.76 aq:25.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:39.69 aq:25.00 tex:25 mv:421 misc:578 imb:1 pmb:81 smb:3725 d:- ref:0 ;
in:83 out:80 type:P dur:2 cpbdur:2 q:39.16 aq:27.84 tex:5209 mv:877 misc:1090 imb:81 pmb:121 smb:3605 d:- ref:0 ;
in:81 out:81 type:B dur:2 cpbdur:2 q:39.41 aq:25.08 tex:40 mv:7 misc:265 imb:0 pmb:2 smb:3805 d:- ref:0 ;
in:80 out:82 type:b dur:2 cpbdur:2 q:39.53 aq:25.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:39.28 aq:24.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:87 out:84 type:P dur:2 cpbdur:2 q:38.89 aq:27.30 tex:22700 mv:6560 misc:2356 imb:278 pmb:615 smb:2914 d:- ref:0 ;
in:85 out:85 type:B dur:2 cpbdur:2 q:39.02 aq:34.01 tex:1331 mv:2084 misc:921 imb:2 pmb:207 smb:3598 d:- ref:0 ;
in:84 out:86 type:b dur:2 cpbdur:2 q:39.09 aq:24.00 tex:27 mv:315 misc:554 imb:4 pmb:82 smb:3721 d:- ref:0 ;
in:86 out:87 type:b dur:2 cpbdur:2 q:38.96 aq:24.00 tex:31 mv:392 misc:617 imb:4 pmb:91 smb:3712 d:- ref:0 ;
in:91 out:88 type:P dur:2 cpbdur:2 q:38.82 aq:28.10 tex:16093 mv:5114 misc:2209 imb:207 pmb:516 smb:3084 d:- ref:0 ;
in:89 out:89 type:B dur:2 cpbdur:2 q:38.86 aq:25.34 tex:91 mv:588 misc:889 imb:3 pmb:163 smb:3641 d:- ref:0 ;
in:88 out:90 type:b dur:2 cpbdur:2 q:38.87 aq:24.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:38.84 aq:24.00 tex:34 mv:467 misc:699 imb:3 pmb:104 smb:3700 d:- ref:0 ;
in:95 out:92 type:P dur:2 cpbdur:2 q:38.51 aq:27.20 tex:4472 mv:475 misc:1077 imb:25 pmb:166 smb:3616 d:- ref:0 ;
in:93 out:93 type:B dur:2 cpbdur:2 q:38.67 aq:22.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:92 out:94 type:b dur:2 cpbdur:2 q:38.74 aq:24.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:38.59 aq:24.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:38.32 aq:27.49 tex:25084 mv:7268 misc:2416 imb:325 pmb:660 smb:2822 d:- ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:38.41 aq:33.82 tex:1793 mv:2221 misc:946 imb:6 pmb:208 smb:3593 d:- ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:38.46 aq:23.00 tex:57 mv:454 misc:657 imb:6 pmb:103 smb:3698 d:- ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:38.36 aq:23.00 tex:41 mv:405 misc:674 imb:1 pmb:103 smb:3703 d:- ref:0 ;
in:103 out:100 type:P dur:2 cpbdur:2 q:38.33 aq:28.04 tex:752 mv:219 misc:533 imb:15 pmb:24 smb:3768 d:- ref:0 ;
in:101 out:101 type:B dur:2 cpbdur:2 q:38.32 aq:22.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:100 out:102 type:b dur:2 cpbdur:2 q:38.32 aq:23.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:38.32 aq:23.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:107 out:104 type:P dur:2 cpbdur:2 q:37.79 aq:27.50 tex:16753 mv:4932 misc:2211 imb:154 pmb:585 smb:3068 d:- ref:0 ;
in:105 out:105 type:B dur:2 cpbdur:2 q:38.06 aq:25.75 tex:230 mv:328 misc:978 imb:4 pmb:188 smb:3615 d:- ref:0 ;
in:104 out:106 type:b dur:2 cpbdur:2 q:38.19 aq:23.00 tex:110 mv:320 misc:810 imb:7 pmb:137 smb:3663 d:- ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:37.93 aq:23.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:111 out:108 type:P dur:2 cpbdur:2 q:37.85 aq:26.92 tex:23974 mv:7466 misc:2192 imb:311 pmb:660 smb:2836 d:- ref:0 ;
in:109 out:109 type:B dur:2 cpbdur:2 q:37.82 aq:32.81 tex:2082 mv:2318 misc:968 imb:9 pmb:211 smb:3587 d:- ref:0 ;
in:108 out:110 type:b dur:2 cpbdur:2 q:37.81 aq:23.00 tex:40 mv:278 misc:698 imb:2 pmb:122 smb:3683 d:- ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:37.83 aq:23.00 tex:34 mv:397 misc:673 imb:3 pmb:106 smb:3698 d:- ref:0 ;
in:115 out:112 type:P dur:2 cpbdur:2 q:37.60 aq:27.40 tex:3429 mv:525 misc:934 imb:23 pmb:98 smb:3686 d:- ref:0 ;
in:113 out:113 type:B dur:2 cpbdur:2 q:37.73 aq:21.00 tex:9 mv:4 misc:251 imb:0 pmb:1 smb:3806 d:- ref:0 ;
in:112 out:114 type:b dur:2 cpbdur:2 q:37.79 aq:23.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:37.67 aq:23.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:119 out:116 type:P dur:2 cpbdur:2 q:37.33 aq:27.47 tex:15694 mv:4901 misc:2181 imb:152 pmb:561 smb:3094 d:- ref:0 ;
in:117 out:117 type:B dur:2 cpbdur:2 q:37.47 aq:28.07 tex:446 mv:525 misc:957 imb:8 pmb:201 smb:3598 d:- ref:0 ;
in:116 out:118 type:b dur:2 cpbdur:2 q:37.54 aq:23.00 tex:47 mv:359 misc:834 imb:4 pmb:149 smb:3654 d:- ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:37.40 aq:22.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:123 out:120 type:P dur:2 cpbdur:2 q:37.32 aq:26.95 tex:30047 mv:7836 misc:2205 imb:325 pmb:658 smb:2824 d:- ref:0 ;
in:121 out:121 type:B dur:2 cpbdur:2 q:37.33 aq:29.91 tex:2609 mv:2816 misc:1143 imb:22 pmb:234 smb:3551 d:- ref:0 ;
in:120 out:122 type:b dur:2 cpbdur:2 q:37.33 aq:22.00 tex:56 mv:490 misc:798 imb:7 pmb:136 smb:3664 d:- ref:0 ;
in:122 out:123 type:b dur:2 cpbdur:2 q:37.33 aq:22.00 tex:27 mv:440 misc:765 imb:0 pmb:138 smb:3669 d:- ref:0 ;
in:127 out:124 type:P dur:2 cpbdur:2 q:37.26 aq:27.70 tex:17202 mv:5751 misc:2175 imb:169 pmb:612 smb:3026 d:- ref:0 ;
in:125 out:125 type:B dur:2 cpbdur:2 q:37.29 aq:25.72 tex:184 mv:642 misc:942 imb:2 pmb:184 smb:3621 d:- ref:0 ;
in:124 out:126 type:b dur:2 cpbdur:2 q:37.31 aq:22.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:37.28 aq:22.00 tex:56 mv:361 misc:767 imb:1 pmb:136 smb:3670 d:- ref:0 ;
in:131 out:128 type:P dur:2 cpbdur:2 q:37.21 aq:29.21 tex:17941 mv:5610 misc:2137 imb:158 pmb:613 smb:3036 d:- ref:0 ;
in:129 out:129 type:B dur:2 cpbdur:2 q:37.24 aq:22.64 tex:177 mv:634 misc:917 imb:1 pmb:182 smb:3624 d:- ref:0 ;
in:128 out:130 type:b dur:2 cpbdur:2 q:37.25 aq:22.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:37.23 aq:22.00 tex:37 mv:428 misc:767 imb:2 pmb:133 smb:3672 d:- ref:0 ;
in:135 out:132 type:P dur:2 cpbdur:2 q:37.29 aq:27.44 tex:17027 mv:5505 misc:2124 imb:165 pmb:598 smb:3044 d:- ref:0 ;
in:133 out:133 type:B dur:2 cpbdur:2 q:37.25 aq:23.23 tex:179 mv:653 misc:864 imb:3 pmb:175 smb:3629 d:- ref:0 ;
in:132 out:134 type:b dur:2 cpbdur:2 q:37.23 aq:22.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:134 out:135 type:b dur:2 cpbdur:2 q:37.27 aq:25.20 tex:108 mv:440 misc:812 imb:3 pmb:143 smb:3661 d:- ref:0 ;
in:139 out:136 type:P dur:2 cpbdur:2 q:37.29 aq:26.93 tex:18635 mv:6041 misc:2252 imb:192 pmb:677 smb:2938 d:- ref:0 ;
in:137 out:137 type:B dur:2 cpbdur:2 q:37.29 aq:25.87 tex:184 mv:721 misc:983 imb:4 pmb:197 smb:3606 d:- ref:0 ;
in:136 out:138 type:b dur:2 cpbdur:2 q:37.29 aq:22.00 tex:7 mv:12 misc:237 imb:1 pmb:0 smb:3806 d:- ref:0 ;
in:138 out:139 type:b dur:2 cpbdur:2 q:37.29 aq:22.00 tex:47 mv:411 misc:774 imb:2 pmb:143 smb:3662 d:- ref:0 ;
in:143 out:140 type:P dur:2 cpbdur:2 q:37.25 aq:26.89 tex:19261 mv:6043 misc:2208 imb:221 pmb:598 smb:2988 d:- ref:0 ;
in:141 out:141 type:B dur:2 cpbdur:2 q:37.27 aq:27.09 tex:173 mv:573 misc:862 imb:3 pmb:162 smb:3642 d:- ref:0 ;
in:140 out:142 type:b dur:2 cpbdur:2 q:37.28 aq:22.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:142 out:143 type:b dur:2 cpbdur:2 q:37.26 aq:22.00 tex:33 mv:416 misc:783 imb:1 pmb:128 smb:3678 d:- ref:0 ;
in:147 out:144 type:P dur:2 cpbdur:2 q:37.17 aq:28.02 tex:19189 mv:5750 misc:2149 imb:189 pmb:625 smb:2993 d:- ref:0 ;
in:145 out:145 type:B dur:2 cpbdur:2 q:37.21 aq:25.74 tex:151 mv:576 misc:945 imb:1 pmb:191 smb:3615 d:- ref:0 ;
in:144 out:146 type:b dur:2 cpbdur:2 q:37.23 aq:22.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:146 out:147 type:b dur:2 cpbdur:2 q:37.19 aq:22.00 tex:41 mv:373 misc:770 imb:2 pmb:135 smb:3670 d:- ref:0 ;
in:151 out:148 type:P dur:2 cpbdur:2 q:37.13 aq:26.44 tex:21215 mv:6976 misc:2393 imb:257 pmb:711 smb:2839 d:- ref:0 ;
in:149 out:149 type:B dur:2 cpbdur:2 q:37.15 aq:23.66 tex:114 mv:504 misc:814 imb:1 pmb:151 smb:3655 d:- ref:0 ;
in:148 out:150 type:b dur:2 cpbdur:2 q:37.16 aq:22.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:150 out:151 type:b dur:2 cpbdur:2 q:37.14 aq:22.00 tex:44 mv:346 misc:746 imb:3 pmb:127 smb:3677 d:- ref:0 ;
in:155 out:152 type:P dur:2 cpbdur:2 q:37.11 aq:23.72 tex:1533 mv:541 misc:774 imb:67 pmb:54 smb:3686 d:- ref:0 ;
in:153 out:153 type:B dur:2 cpbdur:2 q:37.12 aq:21.00 tex:9 mv:4 misc:251 imb:0 pmb:1 smb:3806 d:- ref:0 ;
in:152 out:154 type:b dur:2 cpbdur:2 q:37.13 aq:22.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:154 out:155 type:b dur:2 cpbdur:2 q:37.12 aq:22.00 tex:9 mv:4 misc:235 imb:0 pmb:1 smb:3806 d:- ref:0 ;
in:159 out:156 type:P dur:2 cpbdur:2 q:36.84 aq:24.83 tex:25703 mv:8060 misc:2621 imb:340 pmb:761 smb:2706 d:- ref:0 ;
in:157 out:157 type:B dur:2 cpbdur:2 q:36.97 aq:33.55 tex:2132 mv:2551 misc:997 imb:15 pmb:221 smb:3571 d:- ref:0 ;
in:156 out:158 type:b dur:2 cpbdur:2 q:37.04 aq:22.00 tex:53 mv:351 misc:764 imb:3 pmb:126 smb:3678 d:- ref:0 ;
in:158 out:159 type:b dur:2 cpbdur:2 q:36.91 aq:22.00 tex:36 mv:354 misc:714 imb:2 pmb:123 smb:3682 d:- ref:0 ;
in:163 out:160 type:P dur:2 cpbdur:2 q:36.89 aq:23.80 tex:732 mv:243 misc:545 imb:11 pmb:30 smb:3766 d:- ref:0 ;
in:161 out:161 type:B dur:2 cpbdur:2 q:36.86 aq:21.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:160 out:162 type:b dur:2 cpbdur:2 q:36.85 aq:22.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3807 d:- ref:0 ;
